County,Municipality,Per Capita Taxable Property Value,Income Per Taxpayer
Cumberland,Shiloh,"70,504","29,957.30"
Cumberland,Stow Creek,"84,040","29,162.12"
Cumberland,Vineland,"68,009","22,745.89"
Middlesex,New Brunswick,"54,791","16,026.45"
Middlesex,Plainsboro,"168,364","51,932.41"
Morris,Parsippany-Troy Hills,"157,849","40,419.33"
Morris,Randolph,"164,979","61,185.20"
Cape May,Dennis,"137,331","28,332.91"
Cape May,Middle Township,"149,535","26,843.28"
Cape May,Avalon,"5,808,040","62,880.94"
Cape May,Cape May Point,"1,775,131","82,292.01"
Camden,Woodlynne,"25,731","13,008.79"
Cape May,Wildwood,"285,755","13,772.33"
Cape May,West Wildwood,"406,967","23,587.62"
Cape May,Upper Township,"165,527","35,998.29"
Cape May,Sea Isle City,"2,073,451","41,840.94"
Cape May,North Wildwood,"686,164","26,449.45"
Ocean,South Toms River,"63,002","18,601.79"
Ocean,Seaside Park,"777,183","40,915.85"
Morris,Rockaway Twp,"160,960","42,507.63"
Morris,Rockaway,"130,128","34,189.26"
Passaic,Clifton,"109,588","29,139.78"
Ocean,Tuckerton,"134,415","24,813.41"
Ocean,Toms River,"174,446","34,432.46"
Ocean,Stafford,"156,828","29,560.26"
Morris,Kinnelon,"203,520","79,740.39"
Camden,Laurel Springs,"68,471","28,673.58"
Camden,Lindenwold,"36,483","18,599.14"
Camden,Merchantville,"64,080","34,376.94"
Camden,Mount Ephraim,"65,484","30,677.63"
Camden,Waterford,"75,704","28,263.65"
Camden,Voorhees,"126,293","52,414.13"
Morris,Netcong,"84,808","28,053.62"
Camden,Pine Valley,"3,495,195",-
Camden,Pennsauken,"68,241","21,729.52"
Camden,Stratford,"64,756","27,057.26"
Camden,Runnemede,"62,242","25,336.23"
Morris,Madison,"219,776","86,952.08"
Morris,Lincoln Park,"133,416","40,893.96"
Morris,Mine Hill,"120,135","33,337.61"
Morris,Mendham,"270,821","117,636.33"
Morris,Morris Twp,"234,604","85,137.87"
Morris,Montville,"223,639","67,012.80"
Morris,Mount Olive,"112,181","39,741.77"
Morris,Morristown,"140,606","47,556.70"
Salem,Oldmans,"127,219","31,280.22"
Salem,Pennsville,"89,575","29,216.97"
