County  ,Municipality  ,Residential Buiding Permits,Certificates of Occupancy,Occupied Units Paying Rent,Median Rent ($),Average Residential Property Value ($),Housing Units,Occupied Units,% Occupied Units,Owner Occupied Units,% Owner Occupied Units
Morris,Roxbury,17,8,850,"1,373","331,792","8,582","8,292",96.62,"7,228",87.17
Union,New Providence,1,0,992,"1,310","551,638","4,537","4,408",97.16,"3,375",76.57
Union,Hillside,13,2,"2,100","1,225","233,962","7,536","7,112",94.37,"4,875",68.55
Union,Linden,87,15,"5,937","1,126","270,394","15,872","14,909",93.93,"8,495",56.98
Union,Roselle,0,0,"3,330","1,095","206,483","7,939","7,407",93.3,"4,404",59.46
Union,Mountainside,5,7,160,"1,394","570,285","2,558","2,468",96.48,"2,244",90.92
Union,Rahway,173,54,"4,067","1,139","260,061","11,300","10,533",93.21,"6,262",59.45
Union,Plainfield,2,2,"7,088","1,135","234,441","16,621","15,180",91.33,"7,591",50.01
Union,Springfield,58,296,"2,174","1,603","388,122","6,736","6,511",96.66,"4,451",68.36
Union,Roselle Park,1,1,"1,979","1,168","262,196","5,231","5,002",95.62,"2,973",59.44
Union,Westfield,37,3,"1,807","1,475","697,251","10,950","10,566",96.49,"8,564",81.05
Union,Union Twp,20,4,"4,304","1,340","283,993","20,250","19,556",96.57,"14,748",75.41
Warren,Hackettstown,2,2,"1,575","1,019","264,168","3,755","3,575",95.21,"2,097",58.66
Warren,Allamuchy,4,29,167,"1,647","257,685","2,096","1,953",93.18,"1,707",87.4
Atlantic,Weymouth,1,3,144,763,"200,289","1,220","1,153",94.51,"1,017",88.2
Bergen,Alpine,3,4,44,"2,100","3,161,105",670,611,91.19,534,87.4
Bergen,Bergenfield,4,33,"2,616","1,169","320,810","9,200","8,852",96.22,"6,221",70.28
Bergen,Carlstadt,0,0,891,"1,315","341,326","2,495","2,378",95.31,"1,343",56.48
Atlantic,Mullica,2,3,154,"1,201","210,005","2,360","2,154",91.27,"1,871",86.86
Atlantic,Pleasantville,5,81,"2,677","1,094","126,716","7,219","6,661",92.27,"3,552",53.33
Atlantic,Port Republic,0,0,31,"1,208","271,414",444,415,93.47,383,92.29
Atlantic,Ventnor,0,0,"1,605","1,060","374,760","7,829","4,592",58.65,"2,753",59.95
Morris,Pequannock,14,12,998,"2,100","376,230","6,794","6,471",95.25,"5,344",82.58
Bergen,Closter,7,33,422,"1,853","656,764","2,860","2,747",96.05,"2,309",84.06
Bergen,Cresskill,12,7,542,"2,100","694,195","3,114","3,002",96.4,"2,386",79.48
Warren,Mansfield,0,0,"1,325",977,"267,723","3,316","2,972",89.63,"1,739",58.51
Warren,Oxford,3,2,132,"1,058","207,524","1,033",950,91.97,815,85.79
Warren,Knowlton,1,1,88,"1,500","256,188","1,212","1,097",90.51,966,88.06
Warren,Lopatcong,16,33,563,"1,112","239,886","3,420","3,136",91.7,"2,415",77.01
Atlantic,Buena,5,4,560,853,"175,076","1,855","1,723",92.88,"1,034",60.01
Atlantic,Buena Vista,5,4,526,"1,280","210,165","3,008","2,786",92.62,"2,426",87.08
Atlantic,Absecon,1,3,557,"1,334","205,689","3,365","3,179",94.47,"2,709",85.22
Atlantic,Atlantic City,23,127,"10,459",809,"190,036","20,013","15,504",77.47,"4,437",28.62
Bergen,Dumont,0,0,"1,789","1,252","348,896","6,542","6,364",97.28,"4,643",72.96
Bergen,Englewood,3,3,"4,463","1,256","513,949","10,695","10,057",94.03,"5,446",54.15
Bergen,Englewood Cliffs,12,8,130,"2,100","1,193,815","1,924","1,824",94.8,"1,633",89.53
Bergen,East Rutherford,317,0,"2,304","1,361","313,109","4,018","3,792",94.38,"1,525",40.22
Bergen,Elmwood Park,2,4,"2,665","1,331","347,065","7,385","7,032",95.22,"4,168",59.27
Bergen,Garfield,55,62,"6,505","1,167","284,498","11,788","11,073",93.93,"4,257",38.44
Bergen,Hackensack,3,4,"11,634","1,225","272,858","19,375","18,142",93.64,"6,390",35.22
Monmouth,Roosevelt,0,0,46,"1,375","251,304",327,314,96.02,282,89.81
Bergen,Fairview,9,2,"2,907","1,190","324,317","5,150","4,853",94.23,"1,622",33.42
Monmouth,Sea Bright,1,3,331,"1,335","566,612","1,211",792,65.4,433,54.67
Bergen,Franklin Lakes,7,5,265,"2,100","1,095,324","3,692","3,527",95.53,"3,145",89.17
Monmouth,Ocean Twp,31,0,"3,474","1,083","432,103","11,541","10,611",91.94,"7,167",67.54
Monmouth,Red Bank,20,12,"2,741","1,282","359,414","5,381","4,929",91.6,"2,316",46.99
Bergen,Harrington Park,3,2,93,"1,420","570,197","1,624","1,592",98.03,"1,463",91.9
Monmouth,Monmouth Beach,10,12,243,"1,736","624,819","1,981","1,494",75.42,"1,236",82.73
Monmouth,Neptune City,1,0,752,"1,180","242,315","2,312","2,133",92.26,"1,269",59.49
Warren,Independence,2,1,387,"1,137","279,645","2,325","2,234",96.09,"1,789",80.08
Monmouth,Marlboro,39,88,413,"2,100","493,172","13,436","13,001",96.76,"12,407",95.43
Warren,Hope,3,2,54,"1,338","274,939",809,741,91.59,655,88.39
Monmouth,Middletown,37,52,"3,158","1,232","397,363","24,959","23,962",96.01,"20,304",84.73
Monmouth,Long Branch,163,16,"6,999","1,237","422,695","14,170","11,753",82.94,"4,936",42
Monmouth,Manasquan,15,16,594,"1,233","630,899","3,500","2,374",67.83,"1,729",72.83
Atlantic,Hamilton,49,72,"2,215","1,333","191,303","10,196","9,490",93.08,"7,269",76.6
Atlantic,Longport,24,20,40,"1,325","1,195,263","1,656",470,28.38,402,85.53
Atlantic,Somers Point,4,2,"1,884",981,"237,379","5,556","4,655",83.78,"2,627",56.43
Monmouth,Sea Girt,18,17,61,"1,924","1,561,830","1,291",823,63.75,740,89.91
Bergen,Allendale,3,9,203,"2,100","671,828","2,388","2,236",93.63,"1,920",85.87
Bergen,Bogota,0,0,877,"1,171","314,928","2,888","2,773",96.02,"1,877",67.69
Bergen,Cliffside Park,308,195,"5,102","1,237","382,159","10,665","9,948",93.28,"4,858",48.83
Bergen,Demarest,6,7,154,"2,100","799,390","1,659","1,597",96.26,"1,462",91.55
Bergen,Ho-Ho-Kus,1,1,102,"1,958","816,505","1,462","1,401",95.83,"1,290",92.08
Bergen,Haworth,4,0,41,"2,100","749,801","1,136","1,110",97.71,"1,049",94.5
Bergen,Leonia,1,1,"1,222","1,444","458,459","3,428","3,284",95.8,"2,137",65.07
Bergen,Lodi,1,1,"5,130","1,159","341,489","10,127","9,471",93.52,"3,814",40.27
Bergen,Lyndhurst,5,1,"3,354","1,236","323,170","8,787","8,337",94.88,"4,590",55.06
Bergen,Maywood,3,10,"1,031","1,191","353,853","3,769","3,649",96.82,"2,455",67.28
Bergen,Midland Park,0,0,680,"1,494","437,151","2,861","2,756",96.33,"1,941",70.43
Bergen,Moonachie,1,1,261,961,"343,911","1,053","1,005",95.44,766,76.22
Bergen,New Milford,4,5,"2,213","1,160","382,170","6,362","6,141",96.53,"3,906",63.61
Bergen,Northvale,2,12,155,"1,297","420,067","1,635","1,564",95.66,"1,269",81.14
Monmouth,West Long Branch,3,2,414,"1,250","448,149","2,528","2,384",94.3,"1,941",81.42
Morris,Boonton Twp,5,6,146,"1,898","586,250","1,647","1,575",95.63,"1,355",86.03
