,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Gloucester,Logan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Greenwich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Harrison Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Lenape Regional,-,"1,773","1,731","1,756","1,723",-,"1,693","1,666","1,686","1,654",-,95.49,96.24,96.01,96
Gloucester,National Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Newfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Florence,-,105,113,114,88,-,94,105,106,81,-,89.52,92.92,92.98,92.05
Gloucester,Mantua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Hainesport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Monroe,-,463,471,451,510,-,409,429,402,470,-,88.34,91.08,89.14,92.16
Monmouth,Upper Freehold,-,330,325,332,319,-,316,309,324,314,-,95.76,95.08,97.59,98.43
Monmouth,Wall,-,303,340,310,294,-,284,335,295,288,-,93.73,98.53,95.16,97.96
Warren,Alpha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,West Long Branch,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Boonton,-,147,144,163,142,-,141,137,156,134,-,95.92,95.14,95.71,94.37
Warren,Blairstown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Spring Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Paulsboro,-,102,102,99,100,-,87,78,87,79,-,85.29,76.47,87.88,79
Warren,Belvidere,-,132,109,119,144,-,122,104,113,136,-,92.42,95.41,94.96,94.44
Monmouth,Spring Lake Heights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Frelinghuysen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Tinton Falls,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,South Harrison,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Franklin Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Union Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Pitman,-,113,135,102,113,-,101,125,96,107,-,89.38,92.59,94.12,94.69
Warren,Greenwich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Great Meadows Regional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Hardwick,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Hackettstown,-,240,264,249,223,-,220,247,233,206,-,91.67,93.56,93.57,92.38
