"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Bergen","Park Ridge","39","5","7","13","6","4","2","5","4","1","7","4","655","616","688","708","-","1,472","1,511","1,465","1,418","-","517,703","546,459","547,437","535,234","548,126","3,428","3,428","3,428","3,428","3,428","3,283","3,283","3,283","3,283","3,283","95.77","95.77","95.77","95.77","95.77","2,623","2,623","2,623","2,623","2,623","79.9","79.9","79.9","79.9","79.9"
"Bergen","Westwood","39","5","3","2","25","3","6","3","3","3","5","3","1,441","1,367","1,504","1,607","-","1,487","1,481","1,630","1,687","-","418,256","432,318","427,186","438,444","465,712","4,636","4,636","4,636","4,636","4,636","4,438","4,438","4,438","4,438","4,438","95.73","95.73","95.73","95.73","95.73","2,745","2,745","2,745","2,745","2,745","61.85","61.85","61.85","61.85","61.85"
"Bergen","Ridgefield Park","36","9","1","0","31","0","0","0","0","0","31","0","1,910","1,942","1,944","2,100","-","1,256","1,256","1,291","1,308","-","283,732","274,096","294,398","308,184","357,351","5,164","5,164","5,164","5,164","5,164","4,851","4,851","4,851","4,851","4,851","93.94","93.94","93.94","93.94","93.94","2,661","2,661","2,661","2,661","2,661","54.85","54.85","54.85","54.85","54.85"
"Essex","Newark","28, 29","8, 10","734","417","210","868","328","170","254","36","632","414","70,126","71,329","6,176","72,281","-","978","973","981","1,014","-","188,000","187,202","196,658","218,349","218,233","109,520","109,520","109,520","109,520","109,520","94,542","94,542","94,542","94,542","94,542","86.32","86.32","86.32","86.32","86.32","20,909","20,909","20,909","20,909","20,909","22.12","22.12","22.12","22.12","22.12"
"Bergen","Wallington","36","9","7","3","62","0","4","2","4","0","7","0","2,785","2,614","2,519","2,497","-","1,092","1,109","1,134","1,189","-","315,033","316,046","323,436","343,401","356,734","4,946","4,946","4,946","4,946","4,946","4,637","4,637","4,637","4,637","4,637","93.75","93.75","93.75","93.75","93.75","1,815","1,815","1,815","1,815","1,815","39.14","39.14","39.14","39.14","39.14"
"Bergen","Rockleigh","37","5","1","0","2","1","1","1","1","0","0","1","8","6","8","7","-","1,375","-","1,125","1,375","-","1,464,208","1,414,577","1,312,759","1,704,646","1,774,429","86","86","86","86","86","75","75","75","75","75","87.21","87.21","87.21","87.21","87.21","60","60","60","60","60","80","80","80","80","80"
"Monmouth","Farmingdale","30","4","0","0","21","3","1","0","0","1","1","20","275","271","279","277","-","1,174","1,214","1,208","1,192","-","289,500","283,017","283,870","288,448","303,376","578","578","578","578","578","547","547","547","547","547","94.64","94.64","94.64","94.64","94.64","280","280","280","280","280","51.19","51.19","51.19","51.19","51.19"
"Bergen","Saddle River","39","5","11","3","5","5","7","3","0","0","1","2","224","181","177","167","-","1,432","1,432","1,455","1,586","-","1,848,092","1,894,448","1,851,782","1,816,780","1,806,952","1,341","1,341","1,341","1,341","1,341","1,216","1,216","1,216","1,216","1,216","90.68","90.68","90.68","90.68","90.68","1,027","1,027","1,027","1,027","1,027","84.46","84.46","84.46","84.46","84.46"
"Monmouth","Englishtown","12","4","0","3","0","0","3","2","2","0","2","1","256","262","257","257","-","1,510","1,472","1,470","1,658","-","294,238","288,714","297,682","315,450","323,092","647","647","647","647","647","621","621","621","621","621","95.98","95.98","95.98","95.98","95.98","464","464","464","464","464","74.72","74.72","74.72","74.72","74.72"
"Burlington","Evesham","8","3","70","71","138","149","235","39","42","6","70","116","3,976","4,021","4,145","4,002","-","1,341","1,346","1,355","1,421","-","265,592","270,252","271,295","280,474","287,856","18,303","18,303","18,303","18,303","18,303","17,620","17,620","17,620","17,620","17,620","96.27","96.27","96.27","96.27","96.27","13,723","13,723","13,723","13,723","13,723","77.88","77.88","77.88","77.88","77.88"
"Monmouth","Highlands","13","6","14","33","62","19","11","5","3","2","4","8","804","864","887","966","-","1,192","1,060","1,149","1,142","-","238,147","236,377","242,563","247,422","261,524","3,146","3,146","3,146","3,146","3,146","2,623","2,623","2,623","2,623","2,623","83.38","83.38","83.38","83.38","83.38","1,537","1,537","1,537","1,537","1,537","58.6","58.6","58.6","58.6","58.6"
"Essex","Livingston","27","11","34","24","212","23","59","25","20","2","111","110","636","748","13,897","921","-","2,100","2,291","2,579","2,626","-","638,931","645,362","652,427","678,215","726,748","10,284","10,284","10,284","10,284","10,284","9,990","9,990","9,990","9,990","9,990","97.14","97.14","97.14","97.14","97.14","9,179","9,179","9,179","9,179","9,179","91.88","91.88","91.88","91.88","91.88"
"Essex","Glen Ridge","28","10","2","3","3","5","2","3","3","0","6","2","199","217","242","147","-","1,493","1,473","1,560","1,505","-","591,204","614,102","646,702","671,484","697,057","2,541","2,541","2,541","2,541","2,541","2,476","2,476","2,476","2,476","2,476","97.44","97.44","97.44","97.44","97.44","2,263","2,263","2,263","2,263","2,263","91.4","91.4","91.4","91.4","91.4"
"Monmouth","Freehold Twp","11","4","0","1","32","119","96","17","0","1","30","17","1,790","1,957","2,355","2,417","-","1,723","1,724","1,776","1,817","-","386,330","418,094","407,307","411,075","420,413","13,140","13,140","13,140","13,140","13,140","12,577","12,577","12,577","12,577","12,577","95.72","95.72","95.72","95.72","95.72","10,368","10,368","10,368","10,368","10,368","82.44","82.44","82.44","82.44","82.44"
"Burlington","Delran","7","3","0","3","15","22","20","0","0","1","18","11","1,319","1,426","1,511","1,268","-","1,170","1,167","1,137","1,190","-","229,557","223,679","220,139","233,361","237,162","6,442","6,442","6,442","6,442","6,442","6,148","6,148","6,148","6,148","6,148","95.44","95.44","95.44","95.44","95.44","4,759","4,759","4,759","4,759","4,759","77.41","77.41","77.41","77.41","77.41"
"Burlington","Burlington","7","3","55","1","0","0","0","0","56","0","55","0","1,391","1,261","1,278","1,382","-","1,000","930","885","930","-","145,941","144,069","143,672","141,825","141,232","4,223","4,223","4,223","4,223","4,223","3,858","3,858","3,858","3,858","3,858","91.36","91.36","91.36","91.36","91.36","2,388","2,388","2,388","2,388","2,388","61.9","61.9","61.9","61.9","61.9"
"Monmouth","Interlaken","11","6","0","1","0","0","0","0","0","0","1","1","10","10","9","10","-","2,100","2,100","-","-","-","631,696","581,225","614,037","684,878","758,893","393","393","393","393","393","361","361","361","361","361","91.86","91.86","91.86","91.86","91.86","336","336","336","336","336","93.07","93.07","93.07","93.07","93.07"
"Essex","Montclair","34","10, 11","265","48","52","11","147","1","144","1","102","11","5,966","6,157","1,170","5,858","-","1,410","1,431","1,422","1,518","-","591,049","599,107","623,465","651,343","693,932","15,911","15,911","15,911","15,911","15,911","15,089","15,089","15,089","15,089","15,089","94.83","94.83","94.83","94.83","94.83","8,606","8,606","8,606","8,606","8,606","57.03","57.03","57.03","57.03","57.03"
"Atlantic","Northfield","2","2","6","3","3","1","0","1","3","0","3","0","278","324","295","263","-","1,358","1,474","1,519","1,645","-","241,639","226,640","230,153","223,906","229,313","3,260","3,260","3,260","3,260","3,260","3,152","3,152","3,152","3,152","3,152","96.69","96.69","96.69","96.69","96.69","2,844","2,844","2,844","2,844","2,844","90.23","90.23","90.23","90.23","90.23"
"Burlington","Beverly","7","3","0","0","2","0","0","0","0","0","1","1","271","263","243","249","-","1,013","1,033","994","959","-","119,976","124,054","131,474","130,033","129,904","1,086","1,086","1,086","1,086","1,086","1,002","1,002","1,002","1,002","1,002","92.27","92.27","92.27","92.27","92.27","686","686","686","686","686","68.46","68.46","68.46","68.46","68.46"
"Monmouth","Holmdel","13","4","16","12","68","75","26","18","21","0","49","84","622","651","612","673","-","1,336","1,188","1,445","2,083","-","656,408","671,046","672,495","672,348","675,634","5,792","5,792","5,792","5,792","5,792","5,584","5,584","5,584","5,584","5,584","96.41","96.41","96.41","96.41","96.41","5,036","5,036","5,036","5,036","5,036","90.19","90.19","90.19","90.19","90.19"
"Essex","Maplewood","27","10","3","237","107","37","20","69","0","0","238","84","1,755","1,771","823","1,725","-","1,416","1,352","1,390","1,485","-","439,074","451,647","488,426","517,426","543,911","8,608","8,608","8,608","8,608","8,608","8,240","8,240","8,240","8,240","8,240","95.72","95.72","95.72","95.72","95.72","6,460","6,460","6,460","6,460","6,460","78.4","78.4","78.4","78.4","78.4"
"Bergen","Oradell","38","5","8","9","12","2","0","2","10","4","12","2","185","165","231","276","-","1,400","1,339","1,323","1,384","-","536,749","561,070","565,584","599,891","617,805","2,831","2,831","2,831","2,831","2,831","2,749","2,749","2,749","2,749","2,749","97.1","97.1","97.1","97.1","97.1","2,470","2,470","2,470","2,470","2,470","89.85","89.85","89.85","89.85","89.85"
"Essex","Caldwell","27","11","10","11","3","0","2","0","1","0","0","2","1,694","1,704","1,785","1,691","-","1,317","1,309","1,327","1,376","-","441,706","468,025","451,440","472,733","470,071","3,510","3,510","3,510","3,510","3,510","3,359","3,359","3,359","3,359","3,359","95.7","95.7","95.7","95.7","95.7","1,635","1,635","1,635","1,635","1,635","48.68","48.68","48.68","48.68","48.68"
"Monmouth","Lake Como","30","4","4","5","2","8","4","1","4","0","2","3","292","221","217","238","-","1,363","1,301","1,358","1,368","-","361,420","376,622","392,547","391,740","407,439","1,115","1,115","1,115","1,115","1,115","785","785","785","785","785","70.4","70.4","70.4","70.4","70.4","465","465","465","465","465","59.24","59.24","59.24","59.24","59.24"
"Essex","Bloomfield","28","10, 11","558","512","0","1","5","21","227","40","197","2","7,208","7,375","7,646","7,943","-","1,202","1,217","1,260","1,300","-","286,366","284,090","291,680","305,121","318,789","19,470","19,470","19,470","19,470","19,470","18,387","18,387","18,387","18,387","18,387","94.44","94.44","94.44","94.44","94.44","9,926","9,926","9,926","9,926","9,926","53.98","53.98","53.98","53.98","53.98"
"Monmouth","Keansburg","13","6","21","1","197","0","0","7","14","0","4","0","1,929","1,820","1,840","1,857","-","1,078","969","1,029","1,069","-","152,879","150,987","147,769","147,600","152,196","4,318","4,318","4,318","4,318","4,318","3,805","3,805","3,805","3,805","3,805","88.12","88.12","88.12","88.12","88.12","2,105","2,105","2,105","2,105","2,105","55.32","55.32","55.32","55.32","55.32"
"Essex","Fairfield","26","11","0","0","0","9","0","1","0","0","1","0","299","232","38","206","-","1,710","1,704","1,854","1,907","-","444,775","519,124","500,065","495,964","545,343","2,723","2,723","2,723","2,723","2,723","2,645","2,645","2,645","2,645","2,645","97.14","97.14","97.14","97.14","97.14","2,302","2,302","2,302","2,302","2,302","87.03","87.03","87.03","87.03","87.03"
"Burlington","Mansfield","8","3","9","27","4","9","10","13","22","0","8","10","55","67","70","81","-","1,406","1,352","1,353","1,792","-","282,576","291,229","301,003","302,053","303,760","3,529","3,529","3,529","3,529","3,529","3,401","3,401","3,401","3,401","3,401","96.37","96.37","96.37","96.37","96.37","3,204","3,204","3,204","3,204","3,204","94.21","94.21","94.21","94.21","94.21"
"Burlington","Hainesport","8","3","1","18","6","4","1","0","12","0","3","2","139","87","108","115","-","1,166","1,129","1,169","-","-","282,324","289,415","293,033","296,505","304,399","2,305","2,305","2,305","2,305","2,305","2,239","2,239","2,239","2,239","2,239","97.14","97.14","97.14","97.14","97.14","2,030","2,030","2,030","2,030","2,030","90.67","90.67","90.67","90.67","90.67"
"Essex","East Orange","34","10","13","147","250","1","241","70","1","0","28","5","18,339","18,465","8,936","17,514","-","993","991","997","1,046","-","191,415","184,448","184,976","203,272","209,453","28,803","28,803","28,803","28,803","28,803","24,945","24,945","24,945","24,945","24,945","86.61","86.61","86.61","86.61","86.61","6,627","6,627","6,627","6,627","6,627","26.57","26.57","26.57","26.57","26.57"
"Monmouth","Little Silver","13","4","18","39","4","10","7","16","16","1","5","9","99","110","132","116","-","2,100","2,129","2,187","2,254","-","656,504","660,881","666,694","667,703","695,005","2,278","2,278","2,278","2,278","2,278","2,146","2,146","2,146","2,146","2,146","94.21","94.21","94.21","94.21","94.21","2,026","2,026","2,026","2,026","2,026","94.41","94.41","94.41","94.41","94.41"
"Sussex","Franklin","24","5","0","0","0","1","0","4","0","0","0","1","580","625","638","571","-","1,147","1,046","1,074","1,115","-","184,255","181,606","180,992","179,140","176,437","2,136","2,136","2,136","2,136","2,136","1,936","1,936","1,936","1,936","1,936","90.64","90.64","90.64","90.64","90.64","1,375","1,375","1,375","1,375","1,375","71.02","71.02","71.02","71.02","71.02"
"Sussex","Hampton Twp","24","5","1","1","0","4","3","1","1","0","2","1","78","117","121","134","-","1,450","1,423","1,432","1,394","-","234,195","234,924","238,008","241,109","248,199","2,200","2,200","2,200","2,200","2,200","2,021","2,021","2,021","2,021","2,021","91.86","91.86","91.86","91.86","91.86","1,843","1,843","1,843","1,843","1,843","91.19","91.19","91.19","91.19","91.19"
"Sussex","Byram","24","11","4","4","13","2","0","2","6","0","0","13","163","155","159","130","-","1,516","1,445","1,419","1,318","-","262,624","264,686","264,257","270,887","272,402","3,207","3,207","3,207","3,207","3,207","2,926","2,926","2,926","2,926","2,926","91.24","91.24","91.24","91.24","91.24","2,738","2,738","2,738","2,738","2,738","93.57","93.57","93.57","93.57","93.57"
"Sussex","Sparta","24","11","20","2","2","9","33","27","17","0","2","3","576","548","589","585","-","1,138","1,030","1,116","1,186","-","393,080","389,055","384,368","386,880","396,515","7,423","7,423","7,423","7,423","7,423","6,868","6,868","6,868","6,868","6,868","92.52","92.52","92.52","92.52","92.52","6,106","6,106","6,106","6,106","6,106","88.91","88.91","88.91","88.91","88.91"
"Burlington","Moorestown","7","3","55","37","-","43","37","16","45","-","12","77","1,138","1,146","1,013","1,031","-","1,141","1,127","1,124","1,179","-","519,001","528,559","538,347","512,736","541,039","7,862","7,862","7,862","7,862","7,862","7,450","7,450","7,450","7,450","7,450","94.76","94.76","94.76","94.76","94.76","5,894","5,894","5,894","5,894","5,894","79.11","79.11","79.11","79.11","79.11"
"Sussex","Wantage","24","5","8","7","4","62","3","3","4","2","5","41","388","422","421","389","-","1,182","1,125","1,155","1,145","-","253,107","251,236","247,899","252,556","270,436","4,173","4,173","4,173","4,173","4,173","3,910","3,910","3,910","3,910","3,910","93.7","93.7","93.7","93.7","93.7","3,477","3,477","3,477","3,477","3,477","88.93","88.93","88.93","88.93","88.93"
"Burlington","Pemberton Twp","8","3","8","9","2","2","3","5","14","0","3","1","3,132","3,155","3,039","3,012","-","1,092","1,126","1,167","1,202","-","159,187","158,955","158,506","162,092","163,976","10,749","10,749","10,749","10,749","10,749","9,997","9,997","9,997","9,997","9,997","93","93","93","93","93","7,304","7,304","7,304","7,304","7,304","73.06","73.06","73.06","73.06","73.06"
"Bergen","Teterboro","36","9","0","0","0","0","0","0","0","0","0","0","28","41","42","45","-","1,500","1,573","1,500","1,453","-","157,798","152,625","159,666","169,171","172,634","27","27","27","27","27","25","25","25","25","25","92.59","92.59","92.59","92.59","92.59","0","0","0","0","0","0","0","0","0","0"
"Sussex","Hopatcong","24","11","4","2","1","40","19","8","3","0","6","30","434","611","783","824","-","1,693","1,384","1,338","1,397","-","245,642","250,651","240,718","239,665","247,065","6,296","6,296","6,296","6,296","6,296","5,653","5,653","5,653","5,653","5,653","89.79","89.79","89.79","89.79","89.79","5,028","5,028","5,028","5,028","5,028","88.94","88.94","88.94","88.94","88.94"
"Burlington","Chesterfield","12","3","53","55","55","41","55","26","51","5","58","41","95","137","160","143","-","1,579","1,473","1,329","1,519","-","386,434","384,875","393,115","399,687","400,985","1,601","1,601","1,601","1,601","1,601","1,539","1,539","1,539","1,539","1,539","96.13","96.13","96.13","96.13","96.13","1,453","1,453","1,453","1,453","1,453","94.41","94.41","94.41","94.41","94.41"
"Sussex","Newton","24","5","0","0","72","6","12","0","45","0","7","71","1,548","1,677","1,682","1,631","-","1,068","1,075","1,055","1,087","-","195,489","192,633","193,260","194,816","207,451","3,479","3,479","3,479","3,479","3,479","3,170","3,170","3,170","3,170","3,170","91.12","91.12","91.12","91.12","91.12","1,563","1,563","1,563","1,563","1,563","49.31","49.31","49.31","49.31","49.31"
"Warren","Phillipsburg","23","7","0","0","0","2","3","1","0","0","0","1","2,705","2,728","2,731","2,827","-","850","875","868","877","-","124,689","118,487","113,609","113,353","113,575","6,607","6,607","6,607","6,607","6,607","5,925","5,925","5,925","5,925","5,925","89.68","89.68","89.68","89.68","89.68","3,296","3,296","3,296","3,296","3,296","55.63","55.63","55.63","55.63","55.63"
"Warren","Hardwick","24","5","1","1","2","0","1","1","0","0","2","0","37","32","37","26","-","2,100","1,917","1,659","1,333","-","292,096","291,619","290,197","285,387","298,966","619","619","619","619","619","573","573","573","573","573","92.57","92.57","92.57","92.57","92.57","527","527","527","527","527","91.97","91.97","91.97","91.97","91.97"
"Ocean","Lakehurst","10","4","0","0","4","0","0","0","0","0","0","0","236","268","290","285","-","1,585","1,723","1,735","1,776","-","187,281","182,939","180,164","177,570","173,833","943","943","943","943","943","881","881","881","881","881","93.43","93.43","93.43","93.43","93.43","592","592","592","592","592","67.2","67.2","67.2","67.2","67.2"
"Warren","Harmony","23","7","0","0","1","1","3","5","2","0","1","0","60","73","72","74","-","1,292","1,327","1,235","1,078","-","216,766","230,187","228,994","232,709","224,594","1,109","1,109","1,109","1,109","1,109","1,017","1,017","1,017","1,017","1,017","91.7","91.7","91.7","91.7","91.7","907","907","907","907","907","89.18","89.18","89.18","89.18","89.18"
"Ocean","Lacey","9","3","94","70","141","132","106","92","86","6","152","49","850","1,007","992","1,017","-","1,327","1,313","1,355","1,369","-","276,910","278,043","270,687","271,212","275,911","11,573","11,573","11,573","11,573","11,573","10,183","10,183","10,183","10,183","10,183","87.99","87.99","87.99","87.99","87.99","9,068","9,068","9,068","9,068","9,068","89.05","89.05","89.05","89.05","89.05"
"Warren","Frelinghuysen","24","5","0","2","3","0","4","2","2","0","0","1","83","69","61","54","-","1,408","1,612","1,587","1,538","-","314,062","297,366","298,689","298,362","309,842","826","826","826","826","826","760","760","760","760","760","92.01","92.01","92.01","92.01","92.01","690","690","690","690","690","90.79","90.79","90.79","90.79","90.79"
"Union","Clark","22","7","204","20","21","18","5","66","202","0","22","12","1,007","1,113","1,176","1,090","-","1,313","1,276","1,334","1,377","-","392,921","407,974","423,951","431,960","440,172","5,751","5,751","5,751","5,751","5,751","5,562","5,562","5,562","5,562","5,562","96.71","96.71","96.71","96.71","96.71","4,564","4,564","4,564","4,564","4,564","82.06","82.06","82.06","82.06","82.06"
"Ocean","Jackson","12","4","67","220","292","67","60","46","78","3","71","83","2,685","2,663","2,704","2,947","-","1,327","1,295","1,323","1,351","-","319,386","326,141","338,320","360,481","369,793","20,342","20,342","20,342","20,342","20,342","19,417","19,417","19,417","19,417","19,417","95.45","95.45","95.45","95.45","95.45","16,925","16,925","16,925","16,925","16,925","87.17","87.17","87.17","87.17","87.17"
"Warren","Greenwich","23","7","3","0","1","1","0","0","0","0","1","1","164","175","130","179","-","1,350","1,241","1,181","1,200","-","315,062","311,344","309,017","329,807","322,215","1,870","1,870","1,870","1,870","1,870","1,808","1,808","1,808","1,808","1,808","96.68","96.68","96.68","96.68","96.68","1,674","1,674","1,674","1,674","1,674","92.59","92.59","92.59","92.59","92.59"
"Union","Fanwood","22","12","15","19","1","41","0","4","54","0","2","10","128","209","298","307","-","1,446","1,888","2,689","2,708","-","404,339","424,239","436,057","454,923","463,600","2,686","2,686","2,686","2,686","2,686","2,627","2,627","2,627","2,627","2,627","97.8","97.8","97.8","97.8","97.8","2,346","2,346","2,346","2,346","2,346","89.3","89.3","89.3","89.3","89.3"
"Ocean","Island Heights","10","3","1","11","4","4","2","2","4","2","3","3","75","104","121","121","-","1,411","1,477","1,544","1,571","-","381,280","387,503","364,398","383,603","394,389","831","831","831","831","831","683","683","683","683","683","82.19","82.19","82.19","82.19","82.19","593","593","593","593","593","86.82","86.82","86.82","86.82","86.82"
"Warren","Alpha","23","7","0","0","0","0","0","0","0","0","0","0","277","279","258","255","-","1,053","1,045","1,051","1,092","-","168,988","180,349","181,665","177,471","175,810","1,032","1,032","1,032","1,032","1,032","964","964","964","964","964","93.41","93.41","93.41","93.41","93.41","695","695","695","695","695","72.1","72.1","72.1","72.1","72.1"
"Warren","Blairstown","24","5","1","2","1","0","4","2","3","0","1","0","222","269","279","242","-","1,173","1,262","1,299","1,370","-","296,637","297,637","293,135","288,581","300,219","2,272","2,272","2,272","2,272","2,272","2,124","2,124","2,124","2,124","2,124","93.49","93.49","93.49","93.49","93.49","1,866","1,866","1,866","1,866","1,866","87.85","87.85","87.85","87.85","87.85"
