"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Hunterdon","Raritan Twp","16","7","22,185","22,185","22,185","22,185","22,185","22,061","22,041","21,959","22,106","22,219","-0.56","-0.65","-1.02","-0.36","0.15","14,911","14,926","15,069","15,230","-","7,666","7,987","4,550","8,529","-","51.41","53.51","30.19","56","-","2,254","2,224","2,524","2,517","-","10.2","10.09","11.46","11.39","-","459","459","459","459","459","2.07","2.07","2.07","2.07","2.07","1,319","1,319","1,319","1,319","1,319","5.95","5.95","5.95","5.95","5.95","1,138","1,138","1,138","1,138","1,138","5.13","5.13","5.13","5.13","5.13","1,108","1,108","1,108","1,108","1,108","4.99","4.99","4.99","4.99","4.99","2,671","2,671","2,671","2,671","2,671","12.04","12.04","12.04","12.04","12.04"
"Hunterdon","Kingwood","23","7","3,845","3,845","3,845","3,845","3,845","3,806","3,784","3,746","3,752","3,738","-1.01","-1.59","-2.57","-2.42","-2.78","2,710","2,673","2,713","2,792","-","887","921","719","1,077","-","32.73","34.46","26.5","38.57","-","109","140","89","97","-","2.85","3.68","2.36","2.57","-","25","25","25","25","25","0.65","0.65","0.65","0.65","0.65","42","42","42","42","42","1.09","1.09","1.09","1.09","1.09","92","92","92","92","92","2.39","2.39","2.39","2.39","2.39","173","173","173","173","173","4.5","4.5","4.5","4.5","4.5","496","496","496","496","496","12.9","12.9","12.9","12.9","12.9"
"Hunterdon","Lebanon","23","7","1,358","1,358","1,358","1,358","1,358","1,388","1,671","1,663","1,669","1,653","2.21","23.05","22.46","22.9","21.72","1,228","1,274","1,260","1,254","-","588","653","375","583","-","47.88","51.26","29.76","46.49","-","126","148","121","136","-","7.14","8.06","7.15","8.03","-","24","24","24","24","24","1.77","1.77","1.77","1.77","1.77","71","71","71","71","71","5.23","5.23","5.23","5.23","5.23","68","68","68","68","68","5.01","5.01","5.01","5.01","5.01","90","90","90","90","90","6.63","6.63","6.63","6.63","6.63","179","179","179","179","179","13.18","13.18","13.18","13.18","13.18"
"Hunterdon","West Amwell","15","7","3,840","3,840","3,840","3,840","3,840","2,800","2,780","2,765","2,767","2,739","-27.08","-27.6","-27.99","-27.94","-28.67","2,064","2,052","2,032","2,023","-","832","978","567","969","-","40.31","47.66","27.9","47.9","-","194","180","170","188","-","6.89","6.44","6.11","6.76","-","514","514","514","514","514","13.39","13.39","13.39","13.39","13.39","56","56","56","56","56","1.46","1.46","1.46","1.46","1.46","186","186","186","186","186","4.84","4.84","4.84","4.84","4.84","139","139","139","139","139","3.62","3.62","3.62","3.62","3.62","437","437","437","437","437","11.38","11.38","11.38","11.38","11.38"
"Hunterdon","Readington","16","7","16,126","16,126","16,126","16,126","16,126","16,040","15,931","15,875","15,963","15,840","-0.53","-1.21","-1.56","-1.01","-1.77","11,393","11,414","11,315","11,626","-","5,848","5,861","3,568","6,189","-","51.33","51.35","31.53","53.23","-","1,294","1,312","1,362","1,360","-","8.04","8.21","8.55","8.52","-","214","214","214","214","214","1.33","1.33","1.33","1.33","1.33","581","581","581","581","581","3.6","3.6","3.6","3.6","3.6","633","633","633","633","633","3.93","3.93","3.93","3.93","3.93","755","755","755","755","755","4.68","4.68","4.68","4.68","4.68","2,184","2,184","2,184","2,184","2,184","13.54","13.54","13.54","13.54","13.54"
"Hunterdon","Tewksbury","23","7","5,993","5,993","5,993","5,993","5,993","5,925","5,884","5,833","5,844","5,788","-1.13","-1.82","-2.67","-2.49","-3.42","4,443","4,435","4,323","4,251","-","2,726","2,828","1,408","2,753","-","61.35","63.77","32.57","64.76","-","610","589","569","647","-","10.27","9.95","9.69","11","-","50","50","50","50","50","0.83","0.83","0.83","0.83","0.83","175","175","175","175","175","2.92","2.92","2.92","2.92","2.92","209","209","209","209","209","3.49","3.49","3.49","3.49","3.49","240","240","240","240","240","4","4","4","4","4","977","977","977","977","977","16.3","16.3","16.3","16.3","16.3"
"Hunterdon","Hampton Boro","23","7","1,401","1,401","1,401","1,401","1,401","1,373","1,361","1,330","1,331","1,325","-2","-2.86","-5.07","-5","-5.42","878","933","913","972","-","300","292","164","280","-","34.17","31.3","17.96","28.81","-","79","114","151","139","-","6.73","9.4","12.29","10.81","-","35","35","35","35","35","2.5","2.5","2.5","2.5","2.5","26","26","26","26","26","1.86","1.86","1.86","1.86","1.86","75","75","75","75","75","5.35","5.35","5.35","5.35","5.35","74","74","74","74","74","5.28","5.28","5.28","5.28","5.28","188","188","188","188","188","13.42","13.42","13.42","13.42","13.42"
"Hunterdon","High Bridge","23","7","3,648","3,648","3,648","3,648","3,648","3,588","3,556","3,541","3,542","3,450","-1.64","-2.52","-2.93","-2.91","-5.43","2,539","2,565","2,570","2,544","-","1,197","1,098","677","1,234","-","47.14","42.81","26.34","48.51","-","274","302","272","284","-","7.57","8.43","7.63","7.97","-","48","48","48","48","48","1.32","1.32","1.32","1.32","1.32","116","116","116","116","116","3.18","3.18","3.18","3.18","3.18","219","219","219","219","219","6","6","6","6","6","251","251","251","251","251","6.88","6.88","6.88","6.88","6.88","314","314","314","314","314","8.61","8.61","8.61","8.61","8.61"
"Hunterdon","Frenchtown","23","7","1,373","1,373","1,373","1,373","1,373","1,394","1,386","1,395","1,366","1,353","1.53","0.95","1.6","-0.51","-1.46","1,112","1,123","1,067","1,086","-","409","480","325","534","-","36.78","42.74","30.46","49.17","-","65","95","91","102","-","4.37","6.58","6.46","7.18","-","11","11","11","11","11","0.8","0.8","0.8","0.8","0.8","13","13","13","13","13","0.95","0.95","0.95","0.95","0.95","70","70","70","70","70","5.1","5.1","5.1","5.1","5.1","88","88","88","88","88","6.41","6.41","6.41","6.41","6.41","155","155","155","155","155","11.29","11.29","11.29","11.29","11.29"
"Camden","Tavistock","6","1","5","5","5","5","5","5","5","5","5","5","0","0","0","0","0","7","6","7","4","-","4","3","4","4","-","57.14","50","57.14","100","-","2","2","2","0","-","22.22","25","22.22","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","60","60","60","60","60"
"Camden","Winslow","4","1","39,499","39,499","39,499","39,499","39,499","38,895","39,019","39,328","39,041","38,699","-1.53","-1.22","-0.43","-1.16","-2.03","26,409","26,613","26,655","26,524","-","6,980","7,303","4,690","6,892","-","26.43","27.44","17.6","25.98","-","3,571","3,131","3,188","2,857","-","9.11","7.99","8.09","7.27","-","14,287","14,287","14,287","14,287","14,287","36.17","36.17","36.17","36.17","36.17","1,224","1,224","1,224","1,224","1,224","3.1","3.1","3.1","3.1","3.1","3,200","3,200","3,200","3,200","3,200","8.1","8.1","8.1","8.1","8.1","2,767","2,767","2,767","2,767","2,767","7.01","7.01","7.01","7.01","7.01","4,189","4,189","4,189","4,189","4,189","10.61","10.61","10.61","10.61","10.61"
"Camden","Pine Hill","8","1","10,233","10,233","10,233","10,233","10,233","10,464","10,510","10,524","10,536","10,439","2.26","2.71","2.84","2.96","2.01","6,986","7,043","7,055","7,123","-","1,235","1,345","1,088","1,436","-","17.68","19.1","15.42","20.16","-","478","417","429","269","-","4.6","4","4.1","2.56","-","2,463","2,463","2,463","2,463","2,463","24.07","24.07","24.07","24.07","24.07","217","217","217","217","217","2.12","2.12","2.12","2.12","2.12","690","690","690","690","690","6.74","6.74","6.74","6.74","6.74","771","771","771","771","771","7.53","7.53","7.53","7.53","7.53","892","892","892","892","892","8.72","8.72","8.72","8.72","8.72"
"Camden","Somerdale","6","1","5,151","5,151","5,151","5,151","5,151","5,339","5,460","5,506","5,508","5,473","3.65","6","6.89","6.93","6.25","3,883","3,934","4,039","4,115","-","701","778","670","957","-","18.05","19.78","16.59","23.26","-","319","352","356","424","-","6.08","6.64","6.64","7.83","-","978","978","978","978","978","18.99","18.99","18.99","18.99","18.99","309","309","309","309","309","6","6","6","6","6","422","422","422","422","422","8.19","8.19","8.19","8.19","8.19","285","285","285","285","285","5.53","5.53","5.53","5.53","5.53","789","789","789","789","789","15.32","15.32","15.32","15.32","15.32"
"Cape May","Stone Harbor","1","2","866","866","866","866","866","844","836","833","822","811","-2.54","-3.46","-3.81","-5.08","-6.35","686","747","782","828","-","374","432","259","512","-","54.52","57.83","33.12","61.84","-","33","42","30","25","-","4.26","4.8","3.24","2.47","-","14","14","14","14","14","1.62","1.62","1.62","1.62","1.62","1","1","1","1","1","0.12","0.12","0.12","0.12","0.12","29","29","29","29","29","3.35","3.35","3.35","3.35","3.35","20","20","20","20","20","2.31","2.31","2.31","2.31","2.31","360","360","360","360","360","41.57","41.57","41.57","41.57","41.57"
"Cape May","Lower Township","1","2","22,866","22,866","22,866","22,866","22,866","22,262","22,125","22,007","21,766","21,490","-2.64","-3.24","-3.76","-4.81","-6.02","16,509","16,607","16,595","16,595","-","3,345","3,235","2,309","3,574","-","20.26","19.48","13.91","21.54","-","1,065","1,066","1,298","1,275","-","4.72","4.76","5.83","5.78","-","456","456","456","456","456","1.99","1.99","1.99","1.99","1.99","142","142","142","142","142","0.62","0.62","0.62","0.62","0.62","969","969","969","969","969","4.24","4.24","4.24","4.24","4.24","1,141","1,141","1,141","1,141","1,141","4.99","4.99","4.99","4.99","4.99","4,831","4,831","4,831","4,831","4,831","21.13","21.13","21.13","21.13","21.13"
"Cape May","Ocean City","1","2","11,701","11,701","11,701","11,701","11,701","11,374","11,355","11,340","11,206","11,041","-2.79","-2.96","-3.09","-4.23","-5.64","9,079","9,091","8,783","8,584","-","4,245","4,189","2,572","4,176","-","46.76","46.08","29.28","48.65","-","905","978","885","820","-","7.86","8.53","7.74","7.24","-","410","410","410","410","410","3.5","3.5","3.5","3.5","3.5","83","83","83","83","83","0.71","0.71","0.71","0.71","0.71","643","643","643","643","643","5.5","5.5","5.5","5.5","5.5","369","369","369","369","369","3.15","3.15","3.15","3.15","3.15","3,471","3,471","3,471","3,471","3,471","29.66","29.66","29.66","29.66","29.66"
"Cumberland","Hopewell","1","2","4,571","4,571","4,571","4,571","4,571","4,506","4,457","4,446","4,422","4,371","-1.42","-2.49","-2.73","-3.26","-4.38","3,355","3,248","3,249","3,265","-","627","582","477","741","-","18.69","17.92","14.68","22.7","-","143","184","152","139","-","3.15","4.08","3.36","3.09","-","301","301","301","301","301","6.58","6.58","6.58","6.58","6.58","26","26","26","26","26","0.57","0.57","0.57","0.57","0.57","335","335","335","335","335","7.33","7.33","7.33","7.33","7.33","205","205","205","205","205","4.48","4.48","4.48","4.48","4.48","944","944","944","944","944","20.65","20.65","20.65","20.65","20.65"
"Cumberland","Commercial","1","2","5,178","5,178","5,178","5,178","5,178","5,157","5,080","5,054","5,018","4,967","-0.41","-1.89","-2.39","-3.09","-4.07","3,395","3,444","3,298","3,419","-","159","239","144","280","-","4.68","6.94","4.37","8.19","-","96","118","107","128","-","1.86","2.29","2.1","2.52","-","530","530","530","530","530","10.24","10.24","10.24","10.24","10.24","27","27","27","27","27","0.52","0.52","0.52","0.52","0.52","316","316","316","316","316","6.1","6.1","6.1","6.1","6.1","359","359","359","359","359","6.93","6.93","6.93","6.93","6.93","604","604","604","604","604","11.66","11.66","11.66","11.66","11.66"
"Cape May","Wildwood Crest","1","2","3,270","3,270","3,270","3,270","3,270","3,198","3,182","3,167","3,137","3,074","-2.2","-2.69","-3.15","-4.07","-5.99","2,549","2,559","2,523","2,515","-","920","960","645","915","-","36.09","37.51","25.56","36.38","-","129","243","245","219","-","4","7.53","7.63","6.9","-","55","55","55","55","55","1.68","1.68","1.68","1.68","1.68","33","33","33","33","33","1.01","1.01","1.01","1.01","1.01","184","184","184","184","184","5.63","5.63","5.63","5.63","5.63","133","133","133","133","133","4.07","4.07","4.07","4.07","4.07","864","864","864","864","864","26.42","26.42","26.42","26.42","26.42"
"Cape May","West Cape May","1","2","1,024","1,024","1,024","1,024","1,024","1,015","1,016","1,016","1,015","1,004","-0.88","-0.78","-0.78","-0.88","-1.95","693","757","720","776","-","245","304","187","341","-","35.35","40.16","25.97","43.94","-","108","156","160","167","-","12.63","16.15","16.75","15.89","-","89","89","89","89","89","8.69","8.69","8.69","8.69","8.69","2","2","2","2","2","0.2","0.2","0.2","0.2","0.2","51","51","51","51","51","4.98","4.98","4.98","4.98","4.98","26","26","26","26","26","2.54","2.54","2.54","2.54","2.54","292","292","292","292","292","28.52","28.52","28.52","28.52","28.52"
"Burlington","Springfield","8","3","3,414","3,414","3,414","3,414","3,414","3,387","3,355","3,315","3,295","3,268","-0.79","-1.73","-2.9","-3.49","-4.28","2,389","2,320","2,262","2,217","-","780","755","476","747","-","32.65","32.54","21.04","33.69","-","93","110","146","206","-","2.73","3.24","4.34","6.16","-","130","130","130","130","130","3.81","3.81","3.81","3.81","3.81","87","87","87","87","87","2.55","2.55","2.55","2.55","2.55","127","127","127","127","127","3.72","3.72","3.72","3.72","3.72","118","118","118","118","118","3.46","3.46","3.46","3.46","3.46","453","453","453","453","453","13.27","13.27","13.27","13.27","13.27"
"Burlington","Westampton","8","3","8,813","8,813","8,813","8,813","8,813","8,741","8,726","8,781","8,760","8,682","-0.82","-0.99","-0.36","-0.6","-1.49","6,210","6,182","6,238","6,273","-","2,498","2,577","1,693","2,601","-","40.23","41.69","27.14","41.46","-","952","1,085","981","958","-","10.83","12.36","11.2","10.97","-","2,243","2,243","2,243","2,243","2,243","25.45","25.45","25.45","25.45","25.45","608","608","608","608","608","6.9","6.9","6.9","6.9","6.9","779","779","779","779","779","8.84","8.84","8.84","8.84","8.84","562","562","562","562","562","6.38","6.38","6.38","6.38","6.38","914","914","914","914","914","10.37","10.37","10.37","10.37","10.37"
"Burlington","Woodland","8","3","1,788","1,788","1,788","1,788","1,788","1,795","1,793","1,778","1,775","1,769","0.39","0.28","-0.56","-0.73","-1.06","1,008","1,013","1,027","1,069","-","196","202","159","212","-","19.44","19.94","15.48","19.83","-","25","30","37","29","-","1.8","2.16","2.57","1.92","-","145","145","145","145","145","8.11","8.11","8.11","8.11","8.11","15","15","15","15","15","0.84","0.84","0.84","0.84","0.84","86","86","86","86","86","4.81","4.81","4.81","4.81","4.81","81","81","81","81","81","4.53","4.53","4.53","4.53","4.53","187","187","187","187","187","10.46","10.46","10.46","10.46","10.46"
"Camden","Berlin","8","1","7,588","7,588","7,588","7,588","7,588","7,546","7,590","7,594","7,606","7,554","-0.55","0.03","0.08","0.24","-0.45","5,252","5,293","5,284","5,348","-","1,431","1,482","1,355","1,876","-","27.25","28","25.64","35.08","-","277","244","222","230","-","3.65","3.2","2.91","3.02","-","318","318","318","318","318","4.19","4.19","4.19","4.19","4.19","211","211","211","211","211","2.78","2.78","2.78","2.78","2.78","237","237","237","237","237","3.12","3.12","3.12","3.12","3.12","414","414","414","414","414","5.46","5.46","5.46","5.46","5.46","1,281","1,281","1,281","1,281","1,281","16.88","16.88","16.88","16.88","16.88"
"Camden","Brooklawn","5","1","1,955","1,955","1,955","1,955","1,955","1,929","1,933","1,932","1,934","1,912","-1.33","-1.13","-1.18","-1.07","-2.2","1,296","1,353","1,345","1,369","-","193","208","188","263","-","14.89","15.37","13.98","19.21","-","161","223","214","222","-","8.57","11.47","10.95","11.07","-","104","104","104","104","104","5.32","5.32","5.32","5.32","5.32","43","43","43","43","43","2.2","2.2","2.2","2.2","2.2","123","123","123","123","123","6.29","6.29","6.29","6.29","6.29","130","130","130","130","130","6.65","6.65","6.65","6.65","6.65","219","219","219","219","219","11.2","11.2","11.2","11.2","11.2"
"Camden","Chesilhurst","4","1","1,634","1,634","1,634","1,634","1,634","1,626","1,634","1,636","1,639","1,624","-0.49","0","0.12","0.31","-0.61","1,258","1,236","1,243","1,297","-","149","111","69","97","-","11.84","8.98","5.55","7.48","-","135","118","116","99","-","8.06","7.1","7.08","6.01","-","758","758","758","758","758","46.39","46.39","46.39","46.39","46.39","14","14","14","14","14","0.86","0.86","0.86","0.86","0.86","189","189","189","189","189","11.57","11.57","11.57","11.57","11.57","69","69","69","69","69","4.22","4.22","4.22","4.22","4.22","322","322","322","322","322","19.71","19.71","19.71","19.71","19.71"
"Camden","Gibbsboro","6","1","2,274","2,274","2,274","2,274","2,274","2,240","2,244","2,248","2,247","2,228","-1.5","-1.32","-1.14","-1.19","-2.02","1,606","1,571","1,533","1,536","-","481","510","253","463","-","29.95","32.46","16.5","30.14","-","59","40","51","92","-","2.54","1.79","2.36","4.21","-","49","49","49","49","49","2.15","2.15","2.15","2.15","2.15","53","53","53","53","53","2.33","2.33","2.33","2.33","2.33","93","93","93","93","93","4.09","4.09","4.09","4.09","4.09","131","131","131","131","131","5.76","5.76","5.76","5.76","5.76","337","337","337","337","337","14.82","14.82","14.82","14.82","14.82"
"Camden","Gloucester Twp","4","1","64,634","64,634","64,634","64,634","64,634","64,029","63,939","63,941","64,159","63,884","-0.94","-1.08","-1.07","-0.73","-1.16","7,551","43,836","44,010","44,152","-","1,176","12,179","8,594","11,812","-","15.57","27.78","19.53","26.75","-","531","4,662","4,690","4,767","-","4.66","7.26","7.32","7.44","-","10,464","10,464","10,464","10,464","10,464","16.19","16.19","16.19","16.19","16.19","2,374","2,374","2,374","2,374","2,374","3.67","3.67","3.67","3.67","3.67","3,650","3,650","3,650","3,650","3,650","5.65","5.65","5.65","5.65","5.65","3,843","3,843","3,843","3,843","3,843","5.95","5.95","5.95","5.95","5.95","7,120","7,120","7,120","7,120","7,120","11.02","11.02","11.02","11.02","11.02"
"Camden","Haddonfield","6","1","11,593","11,593","11,593","11,593","11,593","11,411","11,414","11,424","11,435","11,345","-1.57","-1.54","-1.46","-1.36","-2.14","5,192","7,805","7,828","7,801","-","2,678","5,767","3,126","5,825","-","51.58","73.89","39.93","74.67","-","207","420","386","411","-","2.79","3.66","3.37","3.6","-","129","129","129","129","129","1.11","1.11","1.11","1.11","1.11","215","215","215","215","215","1.85","1.85","1.85","1.85","1.85","248","248","248","248","248","2.14","2.14","2.14","2.14","2.14","691","691","691","691","691","5.96","5.96","5.96","5.96","5.96","1,737","1,737","1,737","1,737","1,737","14.98","14.98","14.98","14.98","14.98"
