"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"Union","Mountainside","21","7","1","1","0","1","2","26","24","35","51","53"
"Union","Rahway","22","10","52","54","37","38","34","313","337","348","295","245"
"Union","Plainfield","22","12","361","330","346","321","195","1,211","1,171","958","1,055","820"
"Union","Springfield","21","7","2","7","15","11","4","165","180","171","142","144"
"Union","Roselle Park","21","10","11","10","5","3","45","121","105","146","138","281"
"Union","Westfield","21","7","19","8","5","3","4","274","218","255","256","217"
"Union","Union Twp","20","7, 10","89","82","62","71","45","952","846","879","983","954"
"Warren","Hackettstown","23","5","6","12","8","3","5","145","127","94","47","46"
"Warren","Allamuchy","24","5","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Weymouth","1","2","-","-","-","-","-","-","-","-","-","-"
"Bergen","Alpine","37","5","0","1","0","0","1","3","8","9","12","24"
"Bergen","Bergenfield","38","5","11","7","8","2","1","116","116","99","103","76"
"Bergen","Carlstadt","36","9","10","2","10","11","6","103","114","129","141","87"
"Atlantic","Mullica","2","2","4","7","6","3","6","83","62","81","98","71"
"Atlantic","Pleasantville","2","2","169","153","114","116","92","426","403","368","312","306"
"Atlantic","Port Republic","9","2","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Ventnor","2","2","14","15","18","6","17","319","323","305","327","259"
"Morris","Pequannock","40","11","13","4","3","1","3","111","121","107","96","93"
"Bergen","Closter","39","5","7","3","2","0","1","53","37","34","43","58"
"Bergen","Cresskill","37","9","0","1","2","3","1","40","31","29","27","47"
"Warren","Mansfield","23","5","3","3","2","4","1","167","167","125","103","82"
"Warren","Oxford","24","5","1","0","0","0","0","12","9","16","15","12"
"Warren","Knowlton","24","5","-","-","-","-","-","-","-","-","-","-"
"Warren","Lopatcong","23","7","3","1","1","3","1","71","67","50","84","67"
"Atlantic","Buena","2","2","11","12","19","14","5","82","97","77","111","72"
"Atlantic","Buena Vista","2","2","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Absecon","2","2","30","9","8","11","17","280","190","242","229","181"
"Atlantic","Atlantic City","2","2","523","531","480","425","276","2,450","2,194","1,807","1,732","1,181"
"Bergen","Dumont","39","5","8","3","3","4","5","82","86","95","88","49"
"Bergen","Englewood","37","9","77","68","61","75","1","511","368","325","325","62"
"Bergen","Englewood Cliffs","37","9","1","1","1","0","85","47","48","44","34","281"
"Bergen","East Rutherford","36","9","4","3","8","13","14","138","102","107","135","148"
"Bergen","Elmwood Park","35","9","29","27","45","20","33","341","366","328","348","342"
"Bergen","Garfield","35","9","65","67","83","59","79","656","567","580","563","585"
"Bergen","Hackensack","37","5","90","90","88","94","116","642","620","693","672","649"
"Monmouth","Roosevelt","12","4","-","-","-","-","-","-","-","-","-","-"
"Bergen","Fairview","32","8","26","14","15","21","35","185","129","118","136","144"
"Monmouth","Sea Bright","13","6","1","2","2","0","2","26","3","2","5","5"
"Bergen","Franklin Lakes","40","5","6","1","5","1","1","67","55","75","71","59"
"Monmouth","Ocean Twp","11","4","47","19","35","30","20","732","587","615","668","586"
